,index,Year,home team,home gdp,home population,home oddset,home fifa rank,home host,away team,away gdp,away population,away oddset,away fifa rank,away host,win point,result
285,285,1978,NED,10926,10,200000,211,0,PER,11879,3298,20000,211,0,0,0
286,286,1978,FRA,46984,6528,550,211,0,HUN,33078,967,200000,211,0,2,1
287,287,1978,POL,34241,3785,12500,211,0,MEX,18445,12894,15000,211,0,2,1
288,288,1978,FRG,10926,10,200000,211,0,TUN,10823,1182,35000,211,0,0,0
289,289,1978,ITA,41829,6047,200000,211,0,ARG,20771,4520,900,211,1,1,1
290,290,1978,BRA,14836,21256,450,211,0,AUT,55684,901,200000,211,0,1,1
291,291,1978,ESP,37766,4676,800,211,0,SWE,55038,1010,200000,211,0,1,1
292,292,1978,PER,11879,3298,20000,211,0,IRN,13339,8400,50000,211,0,3,1
293,293,1978,SCO,10926,10,200000,211,0,NED,10926,10,200000,211,0,1,1
294,294,1978,FRG,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,0,0
295,295,1978,NED,10926,10,200000,211,0,AUT,55684,901,200000,211,0,4,1
296,296,1978,BRA,14836,21256,450,211,0,PER,11879,3298,20000,211,0,3,1
297,297,1978,ARG,20771,4520,900,211,1,POL,34241,3785,12500,211,0,2,1
298,298,1978,POL,34241,3785,12500,211,0,PER,11879,3298,20000,211,0,1,1
299,299,1978,ITA,41829,6047,200000,211,0,AUT,55684,901,200000,211,0,1,1
300,300,1978,FRG,10926,10,200000,211,0,NED,10926,10,200000,211,0,0,0
301,301,1978,ARG,20771,4520,900,211,1,BRA,14836,21256,450,211,0,0,0
302,302,1978,NED,10926,10,200000,211,0,ITA,41829,6047,200000,211,0,1,1
303,303,1978,AUT,55684,901,200000,211,0,FRG,10926,10,200000,211,0,1,1
304,304,1978,BRA,14836,21256,450,211,0,POL,34241,3785,12500,211,0,2,1
305,305,1978,ARG,20771,4520,900,211,1,PER,11879,3298,20000,211,0,6,1
306,306,1978,BRA,14836,21256,450,211,0,ITA,41829,6047,200000,211,0,1,1
307,307,1978,ARG,20771,4520,900,211,1,NED,10926,10,200000,211,0,2,1
308,308,1982,ARG,20771,4520,900,211,0,BEL,53035,1159,1200,211,0,-1,-1
309,309,1982,ITA,41829,6047,200000,211,0,POL,34241,3785,12500,211,0,0,0
310,310,1982,BRA,14836,21256,450,211,0,URS,10926,10,200000,211,0,1,1
311,311,1982,PER,11879,3298,20000,211,0,CMR,3868,2655,20000,211,0,0,0
312,312,1982,HUN,33078,967,200000,211,0,SLV,8421,649,200000,211,0,9,1
